Wavelength,Sample_1_Absorbance,Sample_2_Absorbance
922,0.0302,0.0472
923,0.03,0.0468
924,0.0297,0.0465
925,0.0295,0.0462
926,0.0292,0.0458
927,0.0289,0.0455
928,0.0286,0.0452
929,0.0284,0.0448
930,0.0281,0.0445
931,0.0279,0.0442
932,0.0277,0.0438
933,0.0274,0.0435
934,0.0272,0.0432
935,0.027,0.0429
936,0.0268,0.0426
937,0.0265,0.0423
938,0.0262,0.042
939,0.026,0.0417
940,0.0258,0.0413
941,0.0255,0.041
942,0.0253,0.0407
943,0.025,0.0403
944,0.0247,0.04
945,0.0245,0.0397
946,0.0242,0.0394
947,0.0239,0.039
948,0.0237,0.0387
949,0.0234,0.0384
950,0.0232,0.0381
951,0.0229,0.0378
952,0.0227,0.0375
953,0.0225,0.0372
954,0.0223,0.0369
955,0.022,0.0366
956,0.0218,0.0363
957,0.0215,0.036
958,0.0213,0.0357
959,0.0211,0.0354
960,0.0208,0.0351
961,0.0206,0.0348
962,0.0204,0.0345
963,0.0201,0.0342
964,0.0199,0.0339
965,0.0197,0.0336
966,0.0194,0.0333
967,0.0192,0.033
968,0.019,0.0327
969,0.0188,0.0325
970,0.0186,0.0322
971,0.0184,0.0319
972,0.0182,0.0316
973,0.018,0.0313
974,0.0178,0.031
975,0.0176,0.0307
976,0.0174,0.0304
977,0.0172,0.0302
978,0.017,0.0299
979,0.0168,0.0296
980,0.0166,0.0293
981,0.0164,0.0291
982,0.0162,0.0288
983,0.0159,0.0285
984,0.0157,0.0283
985,0.0156,0.028
986,0.0154,0.0278
987,0.0152,0.0275
988,0.015,0.0273
989,0.0148,0.027
990,0.0146,0.0267
991,0.0144,0.0265
992,0.0142,0.0262
993,0.0141,0.026
994,0.0139,0.0258
995,0.0137,0.0255
996,0.0136,0.0253
997,0.0134,0.025
998,0.0133,0.0248
999,0.0132,0.0247
1000,0.0131,0.0245
